Q Number,Q Type,Question,Answers,,,,
319,Multiple Choice,What does it mean for an element's name or role to be programmatically determined?,Programmers can easily edit the HTML code,It is structured so that software can extract and present it in various formats allowing different user agents including assistive technologies to make it accessible to users.,the value is manually entered by the user each session,the value is randomly generated without input from the author,It is structured so that software can extract and present it in various formats allowing different user agents including assistive technologies to make it accessible to users.
320,Multiple Choice,Which HTML attribute is required to ensure that assistive technologies can properly identify form fields?,id,placeholder,aria-label,label,Label
321,Multiple Choice,What is the role of WAI-ARIA in the context of a robust website?,It reduces page load times by compressing images,It helps to create animations in HTML,It enhances the functionality of assistive technologies by providing additional semantic meaning to web elements,It creates secure login forms,It enhances the functionality of assistive technologies by providing additional semantic meaning to web elements
322,Multiple Choice,"Given the following HTML what could make it more robust for screen readers?

<button>Click Here</button>",Add a 'class' attribute,Wrap the button in a 'div',"Add a more descriptive label using `aria-label=""Submit Form""`",Change the button to a `span`,"Add a more descriptive label using `aria-label=""Submit Form""`"
323,Multiple Choice,What is the function of the role attribute in ARIA?,To define how the content should be displayed,To handle click events in JavaScript,To add styling information to an element,To provide explicit information to assistive technologies about the purpose or type of an element,To provide explicit information to assistive technologies about the purpose or type of an element
324,Multiple Choice,Which of the following will improve accessibility in dynamic content changes (e.g. content added via JavaScript)?,Use aria-live to notify assistive technologies of content changes,Use alt attributes in all images,Set display: none on content before it's loaded,Avoid using any form of JavaScript for dynamic updates,Use aria-live to notify assistive technologies of content changes
325,Multiple Choice,Why is it important to provide accessible names and roles for interactive components in a web application?,So assistive technologies can correctly identify and announce these elements to users,To ensure consistency across different browsers,To optimize the performance of JavaScript frameworks,To enable SEO crawlers to better understand the content,So assistive technologies can correctly identify and announce these elements to users
326,Multiple Choice,"Given the following invalid HTML what is the issue affecting robustness?

<a href=""#"" role=""button"">Submit</a>",The use of a `role` attribute with a link is incorrect,A link should never be used to act as a button,"The `role=""button""` should be replaced with a proper `button` element for better semantic meaning and compatibility with assistive technologies",No issue this is valid HTML,"The `role=""button""` should be replaced with a proper `button` element for better semantic meaning and compatibility with assistive technologies"
327,Multiple Choice,Which of the following is NOT a disability that web accessibility aims to address?,Lack of coding knowledge,Visual impairments,Cognitive limitations,Hearing impairments,Lack of coding knowledge
328,Multiple Choice,Which international organization is responsible for the WCAG guidelines?,Google,Apple,Microsoft,W3C (World Wide Web Consortium),W3C (World Wide Web Consortium)
329,True/False,Dynamic content like menus sliders and form inputs are always natively accessible.,TRUE,FALSE,,,FALSE
330,Multiple Choice,ARIA is not a replacement for good coding practices,TRUE,FALSE,,,TRUE
331,Multiple Choice,What are assistive technologies?,Tools for enhancing website speed,Tools designed to help individuals with disabilities access digital content,Software for managing website content,Devices used for cybersecurity,Tools designed to help individuals with disabilities access digital content
332,Multiple Choice,What function does a screen magnifier serve?,Converts text to speech,Detects color contrast issues,Enlarges the content on a screen for better visibility,Assists with form filling,Enlarges the content on a screen for better visibility
333,Multiple Choice,What is the purpose of speech recognition software?, To provide visual enhancements,To read text aloud,To translate languages,To allow users to control their devices using voice commands,To allow users to control their devices using voice commands
334,Multiple Choice,Which assistive technology would help a user with mobility impairments navigate a website?,Switch devices,Screen reader,Braille display,Color contrast analyzer,Switch devices
335,Multiple Choice,Which accessibility issue does the Color Contrast Analyzer specifically check for?,Missing alt text,Improper form labeling,Contrast ratios between text and background colors,Keyboard navigation issues,Contrast ratios between text and background colors
336,Multiple Choice,Which tool is built into Chrome DevTools for accessibility audits?,Axe,WAVE,Lighthouse,Tenon,Lighthouse
337,Multiple Choice,Why is it essential to test websites with accessibility tools?,To increase website loading speed,To enhance the visual appeal of the site,To generate traffic to the site,To ensure compliance with accessibility standards and improve usability for all users,To ensure compliance with accessibility standards and improve usability for all users
